名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
山歌好唱口难开(一),江苏省,常熟市,五声,宫调,0.404195804,2.828542042,0.85374312,1.92,0,0.213333333,0,0.12,0,0.133333333,0,0,0.253333333,0,0.28,0,0
山歌好唱口难开(九),江苏省,盱眙县,六声,宫调,0.319230769,3.821594161,0.655108134,2.857142857,0,0.119047619,0,0.154761905,0,0.166666667,0,0.023809524,0.273809524,0,0.261904762,0,0
山歌好唱难起头(一),江苏省,丹徒县,五声,羽调,0.294295302,3.22250034,0.760701431,2.34375,0.015384615,0.323076923,0,0.253846154,0,0.192307692,0,0,0.061538462,0,0.153846154,0,0
张生戏莺莺,江苏省,徐州市,七声,徵调,0.193852459,3.540950609,0.618738142,2.361904762,0.045454545,0.236363636,0,0.209090909,0,0.090909091,0.054545455,0.009090909,0.172727273,0,0.181818182,0,0
情郎一去无归期,江苏省,苏州市,六声,羽调,0.176650943,3.931533711,1.078611768,1.796610169,0.008403361,0.235294118,0,0.159663866,0,0.151260504,0,0,0.210084034,0,0.18487395,0,0.050420168
我家亲娘亲爷苦,江苏省,南通市,五声,羽调,0.522413793,3.396077364,0.635094107,2.550724638,0,0.275362319,0,0.463768116,0,0.028985507,0,0,0.028985507,0,0.202898551,0,0
手提红绣鞋,江苏省,启东市,五声,商调,0.314754098,2.950033408,0.69710267,2.431372549,0,0.137254902,0,0.137254902,0,0.235294118,0,0,0.196078431,0,0.294117647,0,0
打落落(推磨号子),江苏省,铜山县,五声,羽调,0.276923077,2.214870034,1.475350183,3.294117647,0.105263158,0.263157895,0,0.315789474,0,0.210526316,0,0,0,0,0.105263158,0,0
打麦号子一条腔,江苏省,溧水县,五声,角调,0.338461538,3.260468385,0.718255408,2.746268657,0.028985507,0.072463768,0,0.086956522,0,0.202898551,0,0,0.304347826,0,0.304347826,0,0
抗包号子（三）,江苏省,无锡市,五声,宫调,0.335714286,2.874703963,0.462853539,2.612244898,0.039215686,0.274509804,0,0.196078431,0,0.117647059,0,0,0.176470588,0,0.196078431,0,0
扛大包搭肩号子,江苏省,南京市,五声,商调,0.591881919,6.27462433,0.830613895,3.421383648,0.201005025,0.115577889,0,0.155778894,0,0.261306533,0,0,0.005025126,0,0.261306533,0,0
抵制英日货,江苏省,苏州市,五声,羽调,0.282142857,3.820450863,0.705301354,2.985074627,0,0.149253731,0,0.208955224,0,0.208955224,0,0,0.223880597,0,0.208955224,0,0
担石号子,江苏省,吴江市,五声,羽调,0.52278481,6.247388666,0.714689618,2.424242424,0.057142857,0.228571429,0,0.271428571,0,0.085714286,0,0,0,0,0.357142857,0,0
拉篷号子(一),江苏省,沛县,六声,徵调,0.365605096,2.323443799,0.633689593,3.076923077,0,0.346153846,0,0.115384615,0,0.019230769,0.019230769,0,0.25,0,0.25,0,0
拍拍你肩叫声你哥,江苏省,昆山市,五声,徵调,0.352112676,1.9649873,0.555555556,2.25,0,0.3125,0,0.21875,0,0.15625,0,0,0.09375,0,0.21875,0,0
